id,web_name,team,element_type,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,form,now_cost
169,Gallagher,6,3,0.1,1567,72833,0,0,0,0.0,59
170,Gilchrist,6,2,0.0,0,7629,0,0,0,0.0,40
171,Gusto,6,2,1.4,368106,563610,0,0,60,1.0,49
172,James,6,2,1.1,297018,211689,0,0,54,4.5,48
173,Kellyman,6,3,0.1,16024,14665,0,0,0,0.0,43
174,Lavia,6,3,0.4,191344,265669,0,0,26,1.8,45
175,Lukaku,6,4,0.2,8049,61765,0,0,0,0.0,63
176,M.Sarr,6,2,0.0,0,457,0,0,0,0.0,45
177,Madueke,6,3,3.2,2492829,2378242,0,0,120,2.2,60
178,Marc Guiu,6,4,0.5,114268,161747,0,0,3,0.0,47
179,Mudryk,6,3,0.2,18933,44003,0,0,7,0.0,61
180,N.Jackson,6,4,6.2,5372437,5139743,0,0,121,0.0,77
181,Nkunku,6,3,2.0,423231,1768345,0,0,60,0.0,57
182,Palmer,6,3,34.3,7552330,7950784,0,0,214,4.2,105
183,Petrović,6,1,0.1,2753,64997,0,0,0,0.0,44
184,Renato Veiga,6,3,0.1,41967,45887,0,0,7,0.0,44
185,Sánchez,6,1,6.2,2374350,2101220,0,0,126,4.0,45
187,Tosin,6,2,0.3,101592,94547,0,0,71,3.5,42
189,W.Fofana,6,2,0.2,86707,109766,0,0,26,0.0,43
386,Sancho,6,3,0.9,513047,498708,0,0,86,1.0,62
560,Neto,6,3,1.4,588496,571738,0,0,104,4.0,61
575,Wiley,6,2,0.0,0,3964,0,0,0,0.0,40
581,Jørgensen,6,1,0.4,122385,123731,0,0,18,0.0,42
621,João Félix,6,3,0.4,163911,170986,0,0,24,0.0,59
695,Rak-Sakyi,6,3,0.0,694,502,0,0,0,0.0,45
696,George,6,3,0.0,4403,2304,0,0,17,0.8,45
697,Acheampong,6,2,0.1,14436,10420,0,0,4,0.0,40
740,Maresca,6,5,1.7,70327,37890,0,0,94,6.8,15
771,Amougou,6,3,0.0,412,240,0,0,1,0.0,45
774,Anselmino,6,2,0.0,480,304,0,0,0,0.0,40
781,Mheuka,6,4,0.0,5840,3217,0,0,1,0.0,45
782,Samuels-Smith,6,2,0.0,372,181,0,0,0,0.0,40
787,Genesis Antwi,6,2,0.0,225,113,0,0,0,0.0,40
11,Nketiah,7,4,0.7,332394,321499,0,0,53,3.8,59
160,Chilwell,7,2,0.5,56707,110689,0,0,13,2.0,46
190,Ahamada,7,3,0.1,6178,35185,0,0,0,0.0,45
193,C.Doucouré,7,3,0.0,12980,20016,0,0,19,0.0,48
194,C.Richards,7,2,0.2,39594,40987,0,0,68,2.8,44
195,Chadi Riad,7,2,0.0,2767,14454,0,0,1,0.0,43
196,Clyne,7,2,0.1,10509,15927,0,0,18,0.0,43
197,Ebiowei,7,3,0.0,0,481,0,0,0,0.0,45
199,Eze,7,3,14.6,3030839,4722130,0,0,148,8.8,70
200,Guéhi,7,2,5.7,1349618,1494548,0,0,116,2.2,47
201,Henderson,7,1,11.7,1875205,2293286,0,0,135,3.0,46
202,Holding,7,2,0.1,3729,10465,0,0,0,0.0,42
203,Hughes,7,3,0.0,14203,16110,0,0,67,2.0,49
205,Kamada,7,3,0.1,16667,62189,0,0,45,1.2,51
206,Lerma,7,3,0.1,14286,16376,0,0,58,1.8,48
207,Mateta,7,4,8.3,4153805,3894652,0,0,150,1.5,75
208,M.França,7,3,0.2,125961,120611,0,0,9,0.5,44
209,Matthews,7,1,0.4,38649,92806,0,0,0,0.0,39
210,Mitchell,7,2,2.1,412152,434799,0,0,123,4.0,48
211,Muñoz,7,2,19.3,3673253,1971404,0,0,142,3.8,52
212,Ozoh,7,3,0.0,0,313,0,0,0,0.0,45
213,Rak-Sakyi,7,3,0.0,755,19767,0,0,0,0.0,45
214,Schlupp,7,3,0.0,10674,18423,0,0,12,0.0,46
