id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
129,João Pedro,5,4,10,6,0,26,516,567.0,456.0,644.0,1946
130,Kozlowski,5,3,0,0,0,0,0,0.0,0.0,0.0,0
131,Lamptey,5,2,2,2,0,1,99,213.6,101.0,52.0,856
132,March,5,3,0,0,0,0,25,24.0,59.6,18.0,161
133,Mazilu,5,3,0,0,0,0,0,0.0,0.0,0.0,0
134,Milner,5,3,0,0,0,0,27,28.6,66.3,12.0,170
135,Minteh,5,3,6,5,0,8,398,523.8,448.9,615.0,1831
136,Mitoma,5,3,10,5,0,12,536,670.6,578.0,856.0,2597
137,Moder,5,3,0,0,0,0,17,15.8,36.0,2.0,9
138,O’Mahony,5,4,0,0,0,0,0,0.0,0.0,0.0,0
139,Offiah,5,2,0,0,0,0,0,0.0,0.0,0.0,0
140,Peupion,5,3,0,0,0,0,0,0.0,0.0,0.0,0
141,Sarmiento,5,3,0,0,0,0,3,0.2,0.8,0.0,8
142,Steele,5,1,0,0,0,1,46,40.4,0.0,0.0,180
143,Undav,5,4,0,0,0,0,0,0.0,0.0,0.0,0
144,Van Hecke,5,2,1,1,0,7,406,736.6,261.8,182.0,2960
145,Veltman,5,2,0,0,0,7,249,273.0,147.2,59.0,1694
146,Verbruggen,5,1,0,1,0,6,366,849.8,10.0,0.0,3240
147,Webster,5,2,0,1,0,2,167,198.4,49.7,55.0,885
148,Welbeck,5,4,10,5,0,21,484,550.2,331.3,676.0,2109
149,Wieffer,5,3,1,5,0,4,243,328.8,230.4,129.0,1003
595,Gruda,5,3,1,4,0,1,176,196.6,311.6,187.0,676
600,Ayari,5,3,2,1,0,3,358,363.2,507.5,247.0,1958
601,Moran,5,3,0,0,0,0,0,0.0,0.0,0.0,0
615,Rushworth,5,1,0,0,0,0,0,0.0,0.0,0.0,0
618,Georginio,5,3,5,6,0,1,288,355.4,281.8,404.0,1651
628,F.Kadıoğlu,5,2,1,0,0,0,59,116.4,83.7,40.0,385
629,O'Riley,5,3,2,3,0,2,209,211.4,322.5,219.0,929
663,Samuels,5,2,0,0,0,0,0,0.0,0.0,0.0,0
668,Cahill,5,1,0,0,0,0,0,0.0,0.0,0.0,0
681,McConville,5,2,0,0,0,0,0,0.0,0.0,0.0,0
685,Slater,5,2,0,0,0,0,0,0.0,0.0,0.0,0
714,Gómez,5,3,1,1,0,2,130,124.2,143.2,69.0,507
739,Hürzeler,5,5,0,0,0,0,0,0.0,0.0,0.0,0
758,Knight,5,3,0,0,0,0,0,0.0,0.0,0.0,0
763,Cashin,5,2,0,0,0,0,-2,7.0,0.6,0.0,19
