id,web_name,team,element_type,form,points_per_game,total_points,minutes,selected_by_percent,transfers_in_event,transfers_out_event
115,Baleba,5,3,2.2,2.6,87,2660,0.2,0,0
116,Barco,5,2,0.0,0.0,0,0,1.9,0,0
118,Cozier-Duberry,5,3,0.0,0.0,0,0,0.0,0,0
119,Dahoud,5,3,0.0,0.0,0,0,0.0,0,0
120,Dunk,5,2,0.5,1.8,44,2081,2.3,0,0
122,Estupiñan,5,2,2.5,2.1,63,2399,1.3,0,0
124,Gilmour,5,3,0.0,1.5,3,97,0.0,0,0
125,Gross,5,3,0.0,0.0,0,0,0.0,0,0
126,Hinshelwood,5,3,6.2,3.4,89,1839,0.1,0,0
127,I.Osman,5,3,0.0,0.0,0,0,0.0,0,0
128,Igor,5,2,0.2,1.4,18,959,0.1,0,0
129,João Pedro,5,4,0.0,4.7,126,1946,8.5,0,0
130,Kozlowski,5,3,0.0,0.0,0,0,0.0,0,0
131,Lamptey,5,2,0.5,2.8,42,856,0.2,0,0
132,March,5,3,0.0,0.9,7,161,0.0,0,0
133,Mazilu,5,3,0.0,0.0,0,0,0.0,0,0
134,Milner,5,3,0.2,1.5,6,170,0.0,0,0
135,Minteh,5,3,4.0,3.2,102,1831,1.0,0,0
136,Mitoma,5,3,2.8,4.0,145,2597,6.3,0,0
137,Moder,5,3,0.0,1.0,4,9,0.4,0,0
138,O’Mahony,5,4,0.0,0.0,0,0,0.2,0,0
139,Offiah,5,2,0.0,0.0,0,0,0.1,0,0
140,Peupion,5,3,0.0,0.0,0,0,0.0,0,0
141,Sarmiento,5,3,0.0,1.0,1,8,0.0,0,0
142,Steele,5,1,0.0,4.5,9,180,0.7,0,0
143,Undav,5,4,0.0,0.0,0,0,0.0,0,0
144,Van Hecke,5,2,3.0,2.6,87,2960,0.7,0,0
145,Veltman,5,2,0.2,2.8,59,1694,1.1,0,0
146,Verbruggen,5,1,3.8,2.9,103,3240,2.5,0,0
147,Webster,5,2,3.2,2.8,39,885,0.1,0,0
148,Welbeck,5,4,3.8,4.2,125,2109,6.9,0,0
149,Wieffer,5,3,3.0,2.1,52,1003,0.1,0,0
595,Gruda,5,3,3.8,2.1,45,676,0.1,0,0
600,Ayari,5,3,3.5,2.2,74,1958,0.1,0,0
601,Moran,5,3,0.0,0.0,0,0,0.0,0,0
615,Rushworth,5,1,0.0,0.0,0,0,0.1,0,0
618,Georginio,5,3,0.0,3.4,95,1651,0.3,0,0
628,F.Kadıoğlu,5,2,0.0,3.2,19,385,0.1,0,0
629,O'Riley,5,3,3.2,2.4,50,929,0.0,0,0
663,Samuels,5,2,0.0,0.0,0,0,0.0,0,0
668,Cahill,5,1,0.0,0.0,0,0,0.9,0,0
681,McConville,5,2,0.0,0.0,0,0,0.0,0,0
685,Slater,5,2,0.0,0.0,0,0,0.0,0,0
714,Gómez,5,3,3.5,1.9,30,507,0.0,0,0
739,Hürzeler,5,5,12.0,0.0,119,0,2.3,0,0
758,Knight,5,3,0.0,0.0,0,0,0.0,0,0
763,Cashin,5,2,0.0,0.5,1,19,0.0,0,0
791,Charlie Tasker,5,2,0.0,0.0,0,0,0.0,0,0
794,Freddie Simmonds,5,2,0.0,0.0,0,0,0.0,0,0
795,Harry Howell,5,3,0.2,1.0,1,6,0.0,0,0
150,Andrey Santos,6,3,0.0,0.0,0,0,0.0,0,0
151,Ângelo,6,3,0.0,0.0,0,0,0.1,0,0
153,B.Badiashile,6,2,0.0,1.4,7,332,0.1,0,0
154,Bergström,6,1,0.0,0.0,0,0,0.2,0,0
155,Bettinelli,6,1,0.0,0.0,0,0,0.4,0,0
157,Caicedo,6,3,3.2,2.6,98,3351,1.0,0,0
158,Casadei,6,3,0.0,0.0,0,0,0.1,0,0
159,Chalobah,6,2,0.8,3.7,93,1969,0.7,0,0
161,Chukwuemeka,6,3,0.0,0.0,0,0,0.0,0,0
162,Colwill,6,2,5.8,3.1,109,3150,2.4,0,0
163,Cucurella,6,2,6.5,3.7,133,2988,11.8,0,0
164,D.D.Fofana,6,4,0.0,0.0,0,0,0.1,0,0
165,Deivid,6,4,0.0,0.0,0,0,0.1,0,0
166,Dewsbury-Hall,6,3,0.2,1.4,18,257,0.1,0,0
168,Enzo,6,3,4.0,3.8,135,2943,4.1,0,0
169,Gallagher,6,3,0.0,0.0,0,0,0.1,0,0
170,Gilchrist,6,2,0.0,0.0,0,0,0.0,0,0
171,Gusto,6,2,1.0,1.9,60,1853,1.4,0,0
172,James,6,2,4.5,2.8,54,1057,1.1,0,0
173,Kellyman,6,3,0.0,0.0,0,0,0.1,0,0
174,Lavia,6,3,1.8,1.6,26,792,0.4,0,0
175,Lukaku,6,4,0.0,0.0,0,0,0.2,0,0
176,M.Sarr,6,2,0.0,0.0,0,0,0.0,0,0
177,Madueke,6,3,2.2,3.8,120,2028,3.2,0,0
178,Marc Guiu,6,4,0.0,1.0,3,71,0.5,0,0
179,Mudryk,6,3,0.0,1.0,7,145,0.2,0,0
180,N.Jackson,6,4,0.0,4.0,121,2220,6.2,0,0
181,Nkunku,6,3,0.0,2.2,60,904,2.0,0,0
182,Palmer,6,3,4.2,5.8,214,3193,34.3,0,0
183,Petrović,6,1,0.0,0.0,0,0,0.1,0,0
184,Renato Veiga,6,3,0.0,1.0,7,176,0.1,0,0
185,Sánchez,6,1,4.0,3.9,126,2880,6.2,0,0
187,Tosin,6,2,3.5,3.2,71,1403,0.3,0,0
189,W.Fofana,6,2,0.0,1.9,26,1172,0.2,0,0
386,Sancho,6,3,1.0,2.8,86,1754,0.9,0,0
560,Neto,6,3,4.0,3.0,104,2262,1.4,0,0
575,Wiley,6,2,0.0,0.0,0,0,0.0,0,0
581,Jørgensen,6,1,0.0,3.0,18,540,0.4,0,0
621,João Félix,6,3,0.0,2.0,24,362,0.4,0,0
695,Rak-Sakyi,6,3,0.0,0.0,0,0,0.0,0,0
696,George,6,3,0.8,2.1,17,177,0.0,0,0
697,Acheampong,6,2,0.0,1.0,4,168,0.1,0,0
740,Maresca,6,5,6.8,0.0,94,0,1.7,0,0
771,Amougou,6,3,0.0,1.0,1,7,0.0,0,0
774,Anselmino,6,2,0.0,0.0,0,0,0.0,0,0
781,Mheuka,6,4,0.0,1.0,1,1,0.0,0,0
782,Samuels-Smith,6,2,0.0,0.0,0,0,0.0,0,0
787,Genesis Antwi,6,2,0.0,0.0,0,0,0.0,0,0
11,Nketiah,7,4,3.8,1.8,53,1018,0.7,0,0
160,Chilwell,7,2,2.0,1.6,13,254,0.5,0,0
