id,web_name,team,element_type,clean_sheets,goals_conceded,minutes,total_points,now_cost
408,Lewis,15,2,0,0,0,0,40
409,Livramento,15,2,10,40,2835,105,46
412,Odysseas,15,1,0,0,0,0,42
413,Pope,15,1,8,35,2520,102,50
414,Ruddy,15,1,0,0,0,0,39
415,Schär,15,2,11,42,2935,118,55
416,Targett,15,2,0,0,20,2,39
418,Trippier,15,2,6,18,1299,72,56
574,Pivas,15,2,0,0,0,0,40
26,Alex Moreno,16,2,3,16,952,34,42
422,Aina,16,2,12,39,2996,128,53
425,Boly,16,2,0,1,146,6,42
427,C.Miguel,16,1,0,0,0,0,41
436,Murillo,16,2,12,44,3188,130,47
437,N.Williams,16,2,10,31,2588,109,45
438,O.Richards,16,2,0,0,0,0,45
440,Omobamidele,16,2,0,0,0,0,42
441,Panzo,16,2,0,0,0,0,40
443,Sels,16,1,13,46,3420,150,52
444,Toffolo,16,2,0,2,135,4,42
448,Worrall,16,2,0,0,0,0,45
573,Milenković,16,2,13,45,3330,145,52
653,Morato,16,2,3,14,891,36,45
706,Abbott,16,2,0,0,0,0,40
721,Hennessey,16,1,0,0,0,0,40
14,Ramsdale,17,1,3,66,2700,97,44
454,Bazunu,17,1,0,0,0,0,43
455,Bednarek,17,2,3,57,2531,60,40
456,Bella-Kotchap,17,2,0,13,329,2,39
457,Bree,17,2,1,31,1070,23,39
460,Edwards,17,2,0,1,12,1,39
461,Harwood-Bellis,17,2,3,65,2824,55,39
464,Larios,17,2,0,0,0,0,39
465,Lis,17,1,0,0,0,0,40
466,Lumley,17,1,0,7,270,8,40
467,Manning,17,2,1,35,1458,34,43
469,McCarthy,17,1,0,13,450,12,42
472,Stephens,17,2,2,31,1389,31,40
474,Sugawara,17,2,2,46,1548,43,42
475,Taylor,17,2,0,12,353,6,39
476,Walker-Peters,17,2,2,77,2918,54,42
477,Wood,17,2,1,20,771,14,39
718,Welington,17,2,1,10,478,14,40
719,Kayi Sanda,17,2,0,1,12,2,40
