id,web_name,team,element_type,now_cost,total_points,points_per_game,value_season,minutes,form
730,Esse,7,3,47,22,3.1,4.7,138,2.8
741,Glasner,7,5,8,128,0.0,160.0,0,9.5
218,Beto,8,4,48,87,2.9,18.1,1521,4.5
219,Branthwaite,8,2,49,88,2.9,18.0,2509,2.2
221,Coleman,8,2,43,5,1.0,1.2,214,0.5
222,Gana,8,3,48,89,2.4,18.5,3063,2.2
223,Garner,8,3,49,42,2.0,8.6,1590,2.0
225,Holgate,8,2,40,1,1.0,0.2,5,0.0
226,Iroegbunam,8,3,43,22,1.2,5.1,562,0.5
227,J.Virginia,8,1,38,0,0.0,0.0,0,0.0
228,Keane,8,2,38,48,3.4,12.6,1046,4.0
229,Maupay,8,4,49,0,0.0,0.0,0,0.0
231,Mykolenko,8,2,44,121,3.5,27.5,3082,6.2
234,Patterson,8,2,44,14,1.4,3.2,342,0.8
236,Tarkowski,8,2,47,105,3.2,22.3,2922,0.0
237,Y. Chermiti,8,4,49,3,0.8,0.6,42,0.2
238,Young,8,2,42,98,3.1,23.3,1864,3.8
450,Alcaraz,8,3,47,44,2.8,9.4,766,5.0
577,Lindstrøm,8,3,50,44,1.8,8.8,1229,0.0
582,O'Brien,8,2,45,65,3.2,14.4,1568,3.2
603,Armstrong,8,3,44,2,0.7,0.5,47,0.0
614,Metcalfe,8,3,45,0,0.0,0.0,0,0.0
624,Begovic,8,1,40,0,0.0,0.0,0,0.0
627,Dixon,8,2,39,0,0.0,0.0,90,0.0
651,Mangala,8,3,50,39,2.1,7.8,1257,0.0
678,Bates,8,3,45,0,0.0,0.0,0,0.0
724,Sherif,8,4,45,0,0.0,0.0,0,0.0
742,Moyes,8,5,5,137,0.0,274.0,0,10.8
773,Heath,8,3,45,0,0.0,0.0,0,0.0
775,Coby Ebere,8,3,45,0,0.0,0.0,0,0.0
803,Welch,8,2,40,0,0.0,0.0,0,0.0
10,Nelson,9,3,50,27,2.2,5.4,483,0.0
19,Smith Rowe,9,3,50,114,3.4,22.8,2036,2.0
191,Andersen,9,2,42,51,1.7,12.1,2673,1.0
239,Adama,9,3,45,95,2.6,21.1,1756,3.0
240,Andreas,9,3,49,81,2.5,16.5,2004,1.0
241,Bassey,9,2,45,75,2.1,16.7,3074,0.8
242,Benda,9,1,39,0,0.0,0.0,0,0.0
243,Cairney,9,3,48,33,1.3,6.9,610,2.2
244,Castagne,9,2,42,46,1.9,11.0,1642,0.2
245,Diop,9,2,43,31,1.5,7.2,1334,0.0
246,Harris,9,3,45,0,0.0,0.0,0,0.0
248,Leno,9,1,50,115,3.0,23.0,3420,3.0
249,Lukić,9,3,48,56,1.9,11.7,2348,1.5
250,Mbabu,9,2,40,0,0.0,0.0,0,0.0
253,Ream,9,2,45,0,0.0,0.0,0,0.0
254,Reed,9,3,47,10,0.8,2.1,100,0.2
255,Robinson,9,2,47,106,2.9,22.6,3166,1.0
256,Stansfield,9,4,50,1,1.0,0.2,1,0.0
257,Tete,9,2,44,49,2.2,11.1,1773,0.8
258,Vinicius,9,4,50,3,1.0,0.6,13,0.0
579,Sessegnon,9,2,42,57,3.6,13.6,574,0.8
586,J.Cuenca,9,2,44,9,1.1,2.0,349,0.5
604,King,9,3,44,10,1.2,2.3,126,0.8
605,Godo,9,3,44,2,1.0,0.5,21,0.2
622,Berge,9,3,50,53,1.7,10.6,2221,1.0
690,Amissah,9,2,40,0,0.0,0.0,0,0.0
753,Silva,9,5,11,94,0.0,85.5,0,2.5
772,Willian,9,3,50,13,1.3,2.6,251,0.5
260,Al-Hamadi,10,4,47,8,0.7,1.7,125,0.0
261,Baggott,10,2,40,0,0.0,0.0,0,0.0
262,Broadhead,10,3,49,37,2.1,7.6,690,2.2
263,Burgess,10,2,38,26,1.4,6.8,1540,1.5
264,Burns,10,3,47,30,1.7,6.4,922,0.0
266,H.Clarke,10,2,40,1,0.1,0.2,377,0.0
267,Davis,10,2,42,52,1.6,12.4,2742,0.5
269,Edmundson,10,2,40,1,1.0,0.2,1,0.0
270,Greaves,10,2,38,37,1.5,9.7,2205,1.2
271,Harness,10,3,49,2,1.0,0.4,43,0.0
273,Humphreys,10,3,45,0,0.0,0.0,0,0.0
275,Johnson,10,2,38,30,1.3,7.9,1346,0.2
276,Ladapo,10,4,45,0,0.0,0.0,0,0.0
277,Luongo,10,3,43,13,1.2,3.0,195,0.5
278,Morsy,10,3,48,67,2.0,14.0,2749,1.8
279,Ndaba,10,2,40,0,0.0,0.0,0,0.0
280,Slicker,10,1,39,0,0.0,0.0,0,0.0
281,Taylor,10,3,48,38,1.2,7.9,837,1.2
282,Tuanzebe,10,2,39,27,1.2,6.9,1710,1.2
283,Walton,10,1,43,16,2.3,3.7,630,0.5
284,Woolfenden,10,2,39,18,1.2,4.6,1187,0.2
359,Phillips,10,3,48,27,1.4,5.6,1231,0.2
568,Muric,10,1,44,49,2.7,11.1,1620,0.0
583,Townsend,10,2,39,11,1.8,2.8,334,0.0
619,Cajuste,10,3,45,63,2.1,14.0,1960,2.2
630,O'Shea,10,2,38,49,1.4,12.9,3122,1.2
632,Ogbene,10,3,48,7,1.4,1.5,237,0.0
715,Godfrey,10,2,40,-1,-0.3,-0.2,158,0.0
743,McKenna,10,5,5,51,0.0,102.0,0,1.5
764,Palmer,10,1,45,22,1.7,4.9,1170,1.2
799,Boniface,10,2,40,0,0.0,0.0,0,0.0
800,Tom Taylor,10,3,45,0,0.0,0.0,0,0.0
117,Buonanotte,11,3,45,75,2.4,16.7,1508,2.0
285,B.Soumaré,11,3,44,48,1.5,10.9,2165,1.8
286,Cannon,11,4,45,0,0.0,0.0,0,0.0
287,Choudhury,11,3,44,4,1.0,0.9,129,0.0
288,Coady,11,2,40,39,1.8,9.8,1712,5.5
289,Daka,11,4,48,34,1.5,7.1,717,1.0
291,Faes,11,2,38,55,1.6,14.5,2812,4.0
292,Golding,11,3,44,1,1.0,0.2,1,0.2
293,Hermansen,11,1,44,63,2.3,14.3,2385,0.0
294,Iversen,11,1,39,0,0.0,0.0,0,0.0
295,Justin,11,2,41,70,1.9,17.1,2912,5.0
296,Kristiansen,11,2,44,34,1.1,7.7,2481,0.5
297,Marcal,11,3,45,0,0.0,0.0,0,0.0
298,Mavididi,11,3,50,72,2.4,14.4,1606,0.0
299,McAteer,11,3,47,35,1.9,7.4,846,3.5
300,Ndidi,11,3,49,64,2.3,13.1,2325,2.8
301,Okoli,11,2,40,27,1.4,6.8,1122,0.2
302,Ricardo,11,2,41,10,1.0,2.4,382,0.2
303,Souttar,11,2,40,0,0.0,0.0,0,0.0
304,Stolarczyk,11,1,40,25,2.5,6.2,900,3.8
305,Thomas,11,2,39,27,1.9,6.9,1109,4.2
307,Vestergaard,11,2,39,11,0.6,2.8,1390,0.0
308,Ward,11,1,39,2,1.0,0.5,135,0.0
309,Winks,11,3,43,40,1.8,9.3,1536,0.0
501,Skipp,11,3,47,27,1.1,5.7,1118,1.8
606,Alves,11,3,44,1,1.0,0.2,1,0.0
616,Nelson,11,2,40,0,0.0,0.0,0,0.0
635,El Khannouss,11,3,48,83,2.6,17.3,2179,3.5
694,Cartwright,11,3,45,0,0.0,0.0,0,0.0
708,Wilson-Brown,11,2,40,0,0.0,0.0,0,0.0
726,Coulibaly,11,2,40,1,0.2,0.2,107,0.0
754,Van Nistelrooy,11,5,5,48,0.0,96.0,0,7.5
792,Monga,11,3,45,7,1.0,1.6,105,1.0
796,Olabade Aluko,11,2,40,1,1.0,0.2,1,0.2
797,Jake Evans,11,3,45,4,1.0,0.9,21,0.8
802,Braybrooke,11,3,45,0,0.0,0.0,0,0.0
312,Bajcetic,12,3,45,0,0.0,0.0,0,0.0
313,Bradley,12,2,47,41,2.2,8.7,744,1.8
315,Clark,12,3,45,0,0.0,0.0,0,0.0
318,Doak,12,3,45,0,0.0,0.0,0,0.0
320,Endo,12,3,46,21,1.1,4.6,259,1.0
322,Gomez,12,2,47,14,1.6,3.0,517,0.0
323,Gravenberch,12,3,50,92,2.5,18.4,3160,0.8
325,Kelleher,12,1,39,45,4.5,11.5,900,0.0
330,McConnell,12,3,43,0,0.0,0.0,0,0.0
331,Morton,12,3,44,0,0.0,0.0,0,0.0
332,N.Phillips,12,2,40,0,0.0,0.0,0,0.0
333,Quansah,12,2,39,9,0.7,2.3,488,-0.2
334,R.Williams,12,2,40,0,0.0,0.0,0,0.0
337,Tsimikas,12,2,46,43,2.4,9.3,829,0.5
660,Jaros,12,1,40,1,1.0,0.2,11,0.0
669,Davies,12,1,40,0,0.0,0.0,0,0.0
688,Nyoni,12,3,45,0,0.0,0.0,0,0.0
692,Nallo,12,2,40,0,0.0,0.0,0,0.0
709,Danns,12,4,45,1,1.0,0.2,10,0.0
744,Slot,12,5,15,118,0.0,78.7,0,3.0
343,Bobb,13,3,47,3,1.0,0.6,14,0.2
344,Carson,13,1,39,0,0.0,0.0,0,0.0
355,Lewis,13,2,43,66,2.4,15.3,1888,1.8
356,Matheus N.,13,3,49,81,3.1,16.5,1670,3.5
357,McAtee,13,3,46,31,2.1,6.7,340,0.5
607,O’Reilly,13,3,49,31,3.4,6.3,525,0.5
626,Kaboré,13,2,45,0,0.0,0.0,0,0.0
671,Wright,13,3,45,0,0.0,0.0,0,0.0
672,Simpson-Pusey,13,2,40,1,0.5,0.2,95,0.0
675,Wilson-Esbrand,13,2,40,0,0.0,0.0,0,0.0
698,Mubama,13,4,45,1,1.0,0.2,27,0.0
703,Alleyne,13,2,40,0,0.0,0.0,0,0.0
704,Brits,13,1,40,0,0.0,0.0,0,0.0
732,Khusanov,13,2,50,14,2.3,2.8,503,0.0
733,Vitor Reis,13,2,45,1,1.0,0.2,1,0.0
736,Guardiola,13,5,15,113,0.0,75.3,0,8.2
367,Bayindir,14,1,43,8,2.0,1.9,360,2.0
368,Casemiro,14,3,46,48,2.0,10.4,1489,1.0
369,Dalot,14,2,50,95,2.9,19.0,2812,0.2
371,Evans,14,2,44,15,2.1,3.4,312,0.2
373,Hannibal,14,3,45,0,0.0,0.0,0,0.0
374,Heaton,14,1,39,0,0.0,0.0,0,0.0
376,Lindelof,14,2,43,27,1.7,6.3,695,2.5
377,Maguire,14,2,49,48,1.8,9.8,1751,2.2
379,Malacia,14,2,44,2,0.7,0.5,99,0.0
380,Martinez,14,2,43,68,3.4,15.8,1751,0.0
381,McTominay,14,3,49,2,1.0,0.4,17,0.0
383,Onana,14,1,49,120,3.5,24.5,3060,0.5
384,Pellistri,14,3,50,0,0.0,0.0,0,0.0
387,Shaw,14,2,49,5,0.7,1.0,346,0.2
572,Yoro,14,2,43,22,1.0,5.1,1160,0.2
593,De Ligt,14,2,48,68,2.3,14.2,2119,0.0
594,Mazraoui,14,2,42,88,2.4,21.0,2836,0.8
613,Collyer,14,3,45,6,1.0,1.3,174,0.0
648,Wheatley,14,4,45,0,0.0,0.0,0,0.0
652,Ugarte,14,3,49,49,1.7,10.0,1777,1.2
658,Heaven,14,2,40,10,2.5,2.5,169,2.0
667,Fletcher,14,3,45,0,0.0,0.0,0,0.0
670,Amass,14,2,40,4,0.8,1.0,345,0.2
673,Fitzgerald,14,3,45,0,0.0,0.0,0,0.0
691,Kukonki,14,2,40,0,0.0,0.0,0,0.0
745,Amorim,14,5,8,86,0.0,107.5,0,5.8
761,Harrison,14,1,40,0,0.0,0.0,0,0.0
766,Dorgu,14,2,45,18,1.5,4.0,840,2.5
776,Obi,14,4,45,7,1.0,1.6,160,0.8
777,Fredricson,14,2,40,2,1.0,0.5,166,0.0
778,Moorhouse,14,3,45,0,0.0,0.0,0,0.0
779,Koné,14,3,45,0,0.0,0.0,0,0.0
783,Graczyk,14,1,40,0,0.0,0.0,0,0.0
788,Dermot Mee,14,1,40,0,0.0,0.0,0,0.0
390,A.Murphy,15,2,40,0,0.0,0.0,0,0.0
393,Botman,15,2,44,18,2.2,4.1,412,2.5
395,Burn,15,2,46,115,3.1,25.0,3330,4.0
396,Dúbravka,15,1,40,44,4.4,11.0,900,0.0
399,Hall,15,2,47,102,3.8,21.7,2188,0.0
400,Hayden,15,3,44,0,0.0,0.0,0,0.0
404,Kelly,15,2,42,12,1.2,2.9,299,0.0
405,Krafth,15,2,43,17,1.4,4.0,334,0.2
406,Kuol,15,3,44,0,0.0,0.0,0,0.0
407,Lascelles,15,2,45,0,0.0,0.0,0,0.0
408,Lewis,15,2,40,0,0.0,0.0,0,0.0
409,Livramento,15,2,46,105,2.8,22.8,2835,3.2
410,Longstaff,15,3,44,34,1.4,7.7,783,0.2
411,Miley,15,3,50,21,1.5,4.2,304,0.5
412,Odysseas,15,1,42,0,0.0,0.0,0,0.0
413,Pope,15,1,50,102,3.6,20.4,2520,3.8
414,Ruddy,15,1,39,0,0.0,0.0,0,0.0
416,Targett,15,2,39,2,1.0,0.5,20,0.0
419,White,15,3,45,0,0.0,0.0,0,0.0
420,Willock,15,3,47,46,1.4,9.8,1065,0.5
574,Pivas,15,2,40,0,0.0,0.0,0,0.0
590,Osula,15,4,49,19,1.4,3.9,124,0.5
746,Howe,15,5,15,97,0.0,64.7,0,3.5
789,Neave,15,4,45,0,0.0,0.0,0,0.0
26,Alex Moreno,16,2,42,34,2.3,8.1,952,0.0
423,Anderson,16,3,50,107,2.9,21.4,2726,1.4
425,Boly,16,2,42,6,1.0,1.4,146,0.0
426,Bowler,16,3,45,0,0.0,0.0,0,0.0
427,C.Miguel,16,1,41,0,0.0,0.0,0,0.0
428,Da Silva Moreira,16,3,43,2,1.0,0.5,28,0.0
429,Danilo,16,3,47,11,1.4,2.3,270,0.2
430,Dennis,16,4,49,0,0.0,0.0,0,0.0
431,Dominguez,16,3,48,54,1.6,11.2,1954,1.6
435,Mighten,16,3,45,0,0.0,0.0,0,0.0
436,Murillo,16,2,47,130,3.6,27.7,3188,2.8
437,N.Williams,16,2,45,109,3.1,24.2,2588,2.4
438,O.Richards,16,2,45,0,0.0,0.0,0,0.0
439,O'Brien,16,3,50,0,0.0,0.0,0,0.0
440,Omobamidele,16,2,42,0,0.0,0.0,0,0.0
441,Panzo,16,2,40,0,0.0,0.0,0,0.0
