id,web_name,team,element_type,now_cost,total_points,goals_scored,assists,clean_sheets,minutes,bonus,bps,influence,creativity,threat,ict_index,form,value_season
124,Gilmour,5,3,50,3,0,0,0,97,0,21,11.4,11.9,2.0,2.5,0.0,0.6
125,Gross,5,3,65,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
126,Hinshelwood,5,3,49,89,5,3,6,1839,8,404,394.6,268.1,304.0,97.0,6.2,18.2
127,I.Osman,5,3,50,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,Igor,5,2,43,18,0,0,1,959,0,113,189.6,54.7,4.0,24.9,0.2,4.2
129,João Pedro,5,4,55,126,10,6,6,1946,26,516,567.0,456.0,644.0,166.0,0.0,22.9
130,Kozlowski,5,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,Lamptey,5,2,44,42,2,2,2,856,1,99,213.6,101.0,52.0,36.8,0.5,9.5
132,March,5,3,65,7,0,0,0,161,0,25,24.0,59.6,18.0,10.1,0.0,1.1
133,Mazilu,5,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,Milner,5,3,50,6,0,0,1,170,0,27,28.6,66.3,12.0,10.7,0.2,1.2
135,Minteh,5,3,48,102,6,5,4,1831,8,398,523.8,448.9,615.0,159.1,4.0,21.2
136,Mitoma,5,3,63,145,10,5,6,2597,12,536,670.6,578.0,856.0,210.7,2.8,23.0
137,Moder,5,3,44,4,0,0,0,9,0,17,15.8,36.0,2.0,5.4,0.0,0.9
138,O’Mahony,5,4,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
139,Offiah,5,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140,Peupion,5,3,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
141,Sarmiento,5,3,49,1,0,0,0,8,0,3,0.2,0.8,0.0,0.1,0.0,0.2
142,Steele,5,1,40,9,0,0,1,180,1,46,40.4,0.0,0.0,4.1,0.0,2.2
143,Undav,5,4,55,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
144,Van Hecke,5,2,45,87,1,1,7,2960,7,406,736.6,261.8,182.0,118.3,3.0,19.3
145,Veltman,5,2,43,59,0,0,6,1694,7,249,273.0,147.2,59.0,48.1,0.2,13.7
146,Verbruggen,5,1,45,103,0,1,7,3240,6,366,849.8,10.0,0.0,85.8,3.8,22.9
147,Webster,5,2,43,39,0,1,4,885,2,167,198.4,49.7,55.0,30.2,3.2,9.1
148,Welbeck,5,4,55,125,10,5,7,2109,21,484,550.2,331.3,676.0,155.8,3.8,22.7
149,Wieffer,5,3,47,52,1,5,2,1003,4,243,328.8,230.4,129.0,68.5,3.0,11.1
595,Gruda,5,3,54,45,1,4,1,676,1,176,196.6,311.6,187.0,69.1,3.8,8.3
