id,web_name,team,element_type,influence,creativity,threat,ict_index,total_points,minutes,now_cost
161,Chukwuemeka,6,3,0.0,0.0,0.0,0.0,0,0,47
162,Colwill,6,2,692.0,214.3,185.0,109.4,109,3150,44
163,Cucurella,6,2,668.6,350.6,358.0,137.9,133,2988,54
164,D.D.Fofana,6,4,0.0,0.0,0.0,0.0,0,0,54
165,Deivid,6,4,0.0,0.0,0.0,0.0,0,0,49
166,Dewsbury-Hall,6,3,57.4,47.4,21.0,12.6,18,257,55
168,Enzo,6,3,761.6,1131.6,517.0,241.3,135,2943,47
169,Gallagher,6,3,0.0,0.0,0.0,0.0,0,0,59
170,Gilchrist,6,2,0.0,0.0,0.0,0.0,0,0,40
171,Gusto,6,2,336.8,394.6,147.0,87.9,60,1853,49
172,James,6,2,207.6,202.1,56.0,46.7,54,1057,48
173,Kellyman,6,3,0.0,0.0,0.0,0.0,0,0,43
174,Lavia,6,3,113.2,121.7,7.0,24.4,26,792,45
175,Lukaku,6,4,0.0,0.0,0.0,0.0,0,0,63
176,M.Sarr,6,2,0.0,0.0,0.0,0.0,0,0,45
177,Madueke,6,3,479.2,475.1,998.0,195.3,120,2028,60
178,Marc Guiu,6,4,4.4,11.8,6.0,2.2,3,71,47
179,Mudryk,6,3,23.2,31.5,31.0,8.5,7,145,61
180,N.Jackson,6,4,546.4,368.3,976.0,187.4,121,2220,77
181,Nkunku,6,3,230.2,204.9,339.0,77.1,60,904,57
182,Palmer,6,3,1068.2,1259.2,1052.0,338.0,214,3193,105
183,Petrović,6,1,0.0,0.0,0.0,0.0,0,0,44
184,Renato Veiga,6,3,30.4,9.2,19.0,5.9,7,176,44
185,Sánchez,6,1,755.6,20.0,0.0,77.5,126,2880,45
187,Tosin,6,2,352.2,48.2,92.0,49.6,71,1403,42
189,W.Fofana,6,2,200.2,85.0,33.0,31.9,26,1172,43
386,Sancho,6,3,340.0,523.2,414.0,127.5,86,1754,62
560,Neto,6,3,492.0,762.7,545.0,180.0,104,2262,61
575,Wiley,6,2,0.0,0.0,0.0,0.0,0,0,40
581,Jørgensen,6,1,157.6,0.0,0.0,15.9,18,540,42
621,João Félix,6,3,88.0,95.4,141.0,32.3,24,362,59
695,Rak-Sakyi,6,3,0.0,0.0,0.0,0.0,0,0,45
696,George,6,3,67.4,72.7,32.0,17.1,17,177,45
697,Acheampong,6,2,13.6,2.5,13.0,2.9,4,168,40
740,Maresca,6,5,0.0,0.0,0.0,0.0,94,0,15
771,Amougou,6,3,1.0,0.9,0.0,0.2,1,7,45
774,Anselmino,6,2,0.0,0.0,0.0,0.0,0,0,40
781,Mheuka,6,4,3.0,0.0,17.0,2.0,1,1,45
782,Samuels-Smith,6,2,0.0,0.0,0.0,0.0,0,0,40
787,Genesis Antwi,6,2,0.0,0.0,0.0,0.0,0,0,40
11,Nketiah,7,4,192.2,163.7,475.0,82.5,53,1018,59
160,Chilwell,7,2,99.6,69.2,37.0,20.7,13,254,46
190,Ahamada,7,3,0.0,0.0,0.0,0.0,0,0,45
193,C.Doucouré,7,3,58.6,25.7,23.0,10.8,19,443,48
194,C.Richards,7,2,470.8,45.0,181.0,69.6,68,1921,44
195,Chadi Riad,7,2,18.2,1.3,0.0,2.0,1,90,43
196,Clyne,7,2,66.6,51.8,8.0,12.4,18,477,43
197,Ebiowei,7,3,0.0,0.0,0.0,0.0,0,0,45
199,Eze,7,3,685.0,849.2,691.0,222.4,148,2588,70
200,Guéhi,7,2,827.0,237.6,247.0,131.0,116,3059,47
201,Henderson,7,1,853.6,30.0,4.0,88.6,135,3420,46
202,Holding,7,2,0.0,0.0,0.0,0.0,0,0,42
203,Hughes,7,3,335.2,462.6,90.0,87.5,67,2100,49
205,Kamada,7,3,219.2,314.1,145.0,68.2,45,1545,51
206,Lerma,7,3,401.4,190.2,197.0,78.7,58,2270,48
207,Mateta,7,4,671.6,405.4,800.0,187.3,150,2642,75
208,M.França,7,3,48.4,1.2,66.0,11.5,9,52,44
209,Matthews,7,1,0.0,0.0,0.0,0.0,0,0,39
210,Mitchell,7,2,630.8,559.1,170.0,136.2,123,3090,48
211,Muñoz,7,2,816.6,634.2,524.0,197.6,142,3229,52
212,Ozoh,7,3,0.0,0.0,0.0,0.0,0,0,45
213,Rak-Sakyi,7,3,0.0,0.0,0.0,0.0,0,0,45
214,Schlupp,7,3,22.8,42.9,46.0,11.0,12,95,46
