id,web_name,team,element_type,bonus,bps,total_points,minutes,influence,creativity,threat
696,George,6,3,0,55,17,177,67.4,72.7,32.0
697,Acheampong,6,2,0,8,4,168,13.6,2.5,13.0
740,Maresca,6,5,0,0,94,0,0.0,0.0,0.0
771,Amougou,6,3,0,2,1,7,1.0,0.9,0.0
774,Anselmino,6,2,0,0,0,0,0.0,0.0,0.0
781,Mheuka,6,4,0,5,1,1,3.0,0.0,17.0
782,Samuels-Smith,6,2,0,0,0,0,0.0,0.0,0.0
787,Genesis Antwi,6,2,0,0,0,0,0.0,0.0,0.0
11,Nketiah,7,4,4,186,53,1018,192.2,163.7,475.0
160,Chilwell,7,2,0,54,13,254,99.6,69.2,37.0
190,Ahamada,7,3,0,0,0,0,0.0,0.0,0.0
193,C.Doucouré,7,3,0,71,19,443,58.6,25.7,23.0
194,C.Richards,7,2,2,249,68,1921,470.8,45.0,181.0
195,Chadi Riad,7,2,0,3,1,90,18.2,1.3,0.0
196,Clyne,7,2,0,48,18,477,66.6,51.8,8.0
197,Ebiowei,7,3,0,0,0,0,0.0,0.0,0.0
199,Eze,7,3,15,605,148,2588,685.0,849.2,691.0
200,Guéhi,7,2,11,492,116,3059,827.0,237.6,247.0
201,Henderson,7,1,8,466,135,3420,853.6,30.0,4.0
202,Holding,7,2,0,0,0,0,0.0,0.0,0.0
203,Hughes,7,3,3,278,67,2100,335.2,462.6,90.0
205,Kamada,7,3,0,246,45,1545,219.2,314.1,145.0
206,Lerma,7,3,2,326,58,2270,401.4,190.2,197.0
207,Mateta,7,4,27,576,150,2642,671.6,405.4,800.0
208,M.França,7,3,0,34,9,52,48.4,1.2,66.0
209,Matthews,7,1,0,0,0,0,0.0,0.0,0.0
210,Mitchell,7,2,4,455,123,3090,630.8,559.1,170.0
211,Muñoz,7,2,9,480,142,3229,816.6,634.2,524.0
212,Ozoh,7,3,0,0,0,0,0.0,0.0,0.0
213,Rak-Sakyi,7,3,0,0,0,0,0.0,0.0,0.0
214,Schlupp,7,3,0,43,12,95,22.8,42.9,46.0
215,Ward,7,2,0,-3,1,71,5.8,10.3,0.0
216,Wharton,7,3,0,244,42,1314,261.2,381.4,69.0
445,Turner,7,1,0,0,0,0,0.0,0.0,0.0
585,I.Sarr,7,3,14,542,149,2708,675.0,618.0,866.0
644,Umeh-Chibueze,7,3,0,0,0,0,0.0,0.0,0.0
645,Devenny,7,3,1,129,34,494,138.8,101.8,90.0
646,Agbinone,7,3,0,4,2,4,4.0,10.6,1.0
647,Rodney,7,3,0,0,0,0,0.0,0.0,0.0
650,Lacroix,7,2,9,463,114,3116,723.8,113.7,277.0
666,Kporha,7,2,0,1,2,11,8.0,4.6,0.0
676,Marsh,7,4,0,0,0,0,0.0,0.0,0.0
730,Esse,7,3,3,72,22,138,74.8,38.4,51.0
741,Glasner,7,5,0,0,128,0,0.0,0.0,0.0
156,Broja,8,4,0,23,12,327,20.2,53.8,43.0
217,A.Doucoure,8,3,5,333,94,2563,352.6,379.4,348.0
218,Beto,8,4,11,295,87,1521,373.2,163.9,666.0
219,Branthwaite,8,2,3,420,88,2509,624.6,57.7,130.0
220,Calvert-Lewin,8,4,3,157,63,1602,200.2,126.1,573.0
221,Coleman,8,2,0,17,5,214,42.4,3.8,23.0
222,Gana,8,3,5,505,89,3063,522.0,327.2,117.0
223,Garner,8,3,0,244,42,1590,264.8,248.2,93.0
224,Harrison,8,3,4,291,81,2068,277.0,527.7,288.0
225,Holgate,8,2,0,-1,1,5,0.0,0.0,0.0
226,Iroegbunam,8,3,0,82,22,562,122.2,40.9,32.0
227,J.Virginia,8,1,0,0,0,0,0.0,0.0,0.0
228,Keane,8,2,4,139,48,1046,306.6,23.2,123.0
229,Maupay,8,4,0,0,0,0,0.0,0.0,0.0
230,McNeil,8,3,9,401,93,1366,392.0,631.8,207.0
231,Mykolenko,8,2,9,467,121,3082,621.4,428.5,100.0
232,Ndiaye,8,4,21,552,114,2426,598.0,326.4,493.0
234,Patterson,8,2,0,47,14,342,71.6,70.3,12.0
235,Pickford,8,1,15,593,158,3420,1052.0,20.3,0.0
236,Tarkowski,8,2,8,468,105,2922,859.0,188.8,217.0
237,Y. Chermiti,8,4,0,9,3,42,2.4,0.6,27.0
238,Young,8,2,9,354,98,1864,431.2,388.2,46.0
450,Alcaraz,8,3,5,191,44,766,219.4,205.7,227.0
577,Lindstrøm,8,3,0,167,44,1229,214.2,309.6,237.0
582,O'Brien,8,2,5,233,65,1568,341.4,108.9,109.0
603,Armstrong,8,3,0,1,2,47,1.8,10.9,9.0
614,Metcalfe,8,3,0,0,0,0,0.0,0.0,0.0
624,Begovic,8,1,0,0,0,0,0.0,0.0,0.0
627,Dixon,8,2,0,0,0,90,15.4,0.3,0.0
651,Mangala,8,3,0,175,39,1257,172.8,133.5,106.0
678,Bates,8,3,0,0,0,0,0.0,0.0,0.0
724,Sherif,8,4,0,0,0,0,0.0,0.0,0.0
742,Moyes,8,5,0,0,137,0,0.0,0.0,0.0
773,Heath,8,3,0,0,0,0,0.0,0.0,0.0
775,Coby Ebere,8,3,0,0,0,0,0.0,0.0,0.0
803,Welch,8,2,0,0,0,0,0.0,0.0,0.0
10,Nelson,9,3,2,143,27,483,131.6,223.9,195.0
19,Smith Rowe,9,3,15,449,114,2036,433.8,422.3,386.0
191,Andersen,9,2,3,306,51,2673,687.6,99.0,162.0
239,Adama,9,3,8,384,95,1756,385.4,632.1,426.0
240,Andreas,9,3,2,355,81,2004,326.6,868.3,300.0
241,Bassey,9,2,0,390,75,3074,587.2,96.7,157.0
242,Benda,9,1,0,0,0,0,0.0,0.0,0.0
243,Cairney,9,3,0,192,33,610,163.8,213.8,94.0
244,Castagne,9,2,0,205,46,1642,360.4,163.6,123.0
245,Diop,9,2,0,146,31,1334,257.6,44.7,83.0
246,Harris,9,3,0,0,0,0,0.0,0.0,0.0
247,Iwobi,9,3,16,704,156,2981,806.8,922.4,699.0
248,Leno,9,1,5,475,115,3420,967.0,20.0,0.0
249,Lukić,9,3,1,354,56,2348,335.6,455.1,119.0
250,Mbabu,9,2,0,0,0,0,0.0,0.0,0.0
251,Muniz,9,4,14,349,86,943,352.4,95.3,508.0
252,Raúl,9,4,26,539,147,2486,612.8,372.2,1018.0
253,Ream,9,2,0,0,0,0,0.0,0.0,0.0
254,Reed,9,3,0,36,10,100,18.6,20.6,33.0
255,Robinson,9,2,8,507,106,3166,922.2,723.4,206.0
256,Stansfield,9,4,0,2,1,1,0.0,0.0,0.0
257,Tete,9,2,0,207,49,1773,381.2,192.2,158.0
258,Vinicius,9,4,0,14,3,13,4.0,0.0,19.0
