id,web_name,team,element_type,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,goals_scored,assists,minutes,now_cost
739,Hürzeler,5,5,0.00,0.00,0.00,0.00,0,0,0,11
758,Knight,5,3,0.00,0.00,0.00,0.00,0,0,0,45
763,Cashin,5,2,0.00,0.00,0.00,0.44,0,0,19,45
791,Charlie Tasker,5,2,0.00,0.00,0.00,0.00,0,0,0,40
794,Freddie Simmonds,5,2,0.00,0.00,0.00,0.00,0,0,0,40
795,Harry Howell,5,3,0.00,0.05,0.05,0.00,0,0,6,45
150,Andrey Santos,6,3,0.00,0.00,0.00,0.00,0,0,0,45
151,Ângelo,6,3,0.00,0.00,0.00,0.00,0,0,0,45
153,B.Badiashile,6,2,0.00,0.08,0.08,5.34,0,0,332,42
154,Bergström,6,1,0.00,0.00,0.00,0.00,0,0,0,39
155,Bettinelli,6,1,0.00,0.00,0.00,0.00,0,0,0,39
157,Caicedo,6,3,0.81,2.82,3.63,45.42,1,4,3351,49
158,Casadei,6,3,0.00,0.00,0.00,0.00,0,0,0,44
159,Chalobah,6,2,1.98,0.64,2.62,27.15,3,1,1969,44
161,Chukwuemeka,6,3,0.00,0.00,0.00,0.00,0,0,0,47
162,Colwill,6,2,1.92,1.31,3.23,43.52,2,1,3150,44
163,Cucurella,6,2,2.79,2.39,5.18,39.94,5,2,2988,54
164,D.D.Fofana,6,4,0.00,0.00,0.00,0.00,0,0,0,54
165,Deivid,6,4,0.00,0.00,0.00,0.00,0,0,0,49
166,Dewsbury-Hall,6,3,0.22,0.22,0.44,3.88,0,1,257,55
168,Enzo,6,3,6.23,6.11,12.34,38.06,6,8,2943,47
169,Gallagher,6,3,0.00,0.00,0.00,0.00,0,0,0,59
170,Gilchrist,6,2,0.00,0.00,0.00,0.00,0,0,0,40
171,Gusto,6,2,1.44,1.91,3.35,27.43,0,1,1853,49
172,James,6,2,0.45,1.15,1.60,16.10,1,2,1057,48
173,Kellyman,6,3,0.00,0.00,0.00,0.00,0,0,0,43
174,Lavia,6,3,0.25,0.38,0.63,14.33,0,1,792,45
175,Lukaku,6,4,0.00,0.00,0.00,0.00,0,0,0,63
176,M.Sarr,6,2,0.00,0.00,0.00,0.00,0,0,0,45
177,Madueke,6,3,9.62,2.86,12.48,29.55,7,5,2028,60
178,Marc Guiu,6,4,0.00,0.02,0.02,1.46,0,0,71,47
179,Mudryk,6,3,0.24,0.66,0.90,3.28,0,0,145,61
180,N.Jackson,6,4,11.68,1.90,13.58,28.47,10,6,2220,77
181,Nkunku,6,3,5.11,1.01,6.12,16.25,3,2,904,57
182,Palmer,6,3,16.79,9.53,26.32,43.88,15,10,3193,105
183,Petrović,6,1,0.00,0.00,0.00,0.00,0,0,0,44
184,Renato Veiga,6,3,0.16,0.15,0.31,3.17,0,0,176,44
185,Sánchez,6,1,0.00,0.02,0.02,38.55,0,0,2880,45
187,Tosin,6,2,0.93,0.23,1.16,19.62,1,1,1403,42
189,W.Fofana,6,2,0.44,0.18,0.62,14.76,0,0,1172,43
386,Sancho,6,3,2.13,3.10,5.23,23.66,3,5,1754,62
560,Neto,6,3,3.48,4.47,7.95,27.98,4,6,2262,61
575,Wiley,6,2,0.00,0.00,0.00,0.00,0,0,0,40
581,Jørgensen,6,1,0.00,0.00,0.00,8.83,0,0,540,42
621,João Félix,6,3,2.30,0.45,2.75,5.96,1,2,362,59
695,Rak-Sakyi,6,3,0.00,0.00,0.00,0.00,0,0,0,45
696,George,6,3,0.20,0.26,0.46,1.41,1,1,177,45
697,Acheampong,6,2,0.22,0.01,0.23,2.09,0,0,168,40
740,Maresca,6,5,0.00,0.00,0.00,0.00,0,0,0,15
771,Amougou,6,3,0.00,0.00,0.00,0.00,0,0,7,45
774,Anselmino,6,2,0.00,0.00,0.00,0.00,0,0,0,40
781,Mheuka,6,4,0.06,0.00,0.06,0.00,0,0,1,45
782,Samuels-Smith,6,2,0.00,0.00,0.00,0.00,0,0,0,40
787,Genesis Antwi,6,2,0.00,0.00,0.00,0.00,0,0,0,40
11,Nketiah,7,4,5.94,0.83,6.77,14.29,3,2,1018,59
160,Chilwell,7,2,0.25,0.88,1.13,2.84,1,0,254,46
190,Ahamada,7,3,0.00,0.00,0.00,0.00,0,0,0,45
193,C.Doucouré,7,3,0.40,0.11,0.51,7.53,0,1,443,48
