id,web_name,team,element_type,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,minutes
206,Lerma,7,3,6,36,0,0,9,0,0,2,2270
207,Mateta,7,4,9,37,0,0,2,0,0,27,2642
208,M.França,7,3,0,0,0,0,0,0,0,0,52
209,Matthews,7,1,0,0,0,0,0,0,0,0,0
210,Mitchell,7,2,12,46,0,0,2,0,0,4,3090
211,Muñoz,7,2,11,46,0,0,10,0,0,9,3229
212,Ozoh,7,3,0,0,0,0,0,0,0,0,0
213,Rak-Sakyi,7,3,0,0,0,0,0,0,0,0,0
214,Schlupp,7,3,0,3,0,0,0,0,0,0,95
215,Ward,7,2,0,2,0,0,1,0,0,0,71
216,Wharton,7,3,4,21,0,0,2,0,0,0,1314
445,Turner,7,1,0,0,0,0,0,0,0,0,0
585,I.Sarr,7,3,10,39,0,0,4,0,0,14,2708
644,Umeh-Chibueze,7,3,0,0,0,0,0,0,0,0,0
645,Devenny,7,3,0,8,0,0,1,0,0,1,494
646,Agbinone,7,3,0,0,0,0,0,0,0,0,4
647,Rodney,7,3,0,0,0,0,0,0,0,0,0
650,Lacroix,7,2,11,45,0,0,5,0,0,9,3116
666,Kporha,7,2,0,1,0,0,0,0,0,0,11
676,Marsh,7,4,0,0,0,0,0,0,0,0,0
730,Esse,7,3,0,3,0,0,0,0,0,3,138
741,Glasner,7,5,0,0,0,0,0,0,0,0,0
156,Broja,8,4,2,2,0,0,1,0,0,0,327
217,A.Doucoure,8,3,11,33,0,0,3,1,0,5,2563
218,Beto,8,4,4,24,0,0,2,0,0,11,1521
219,Branthwaite,8,2,9,28,0,0,4,0,0,3,2509
220,Calvert-Lewin,8,4,8,18,0,0,2,0,0,3,1602
221,Coleman,8,2,0,4,0,0,1,0,0,0,214
222,Gana,8,3,12,39,0,0,9,0,0,5,3063
223,Garner,8,3,5,19,0,0,5,0,0,0,1590
224,Harrison,8,3,7,27,0,0,0,0,0,4,2068
225,Holgate,8,2,0,1,0,0,0,0,0,0,5
226,Iroegbunam,8,3,0,16,0,0,4,0,0,0,562
227,J.Virginia,8,1,0,0,0,0,0,0,0,0,0
228,Keane,8,2,3,20,0,0,5,0,0,4,1046
229,Maupay,8,4,0,0,0,0,0,0,0,0,0
230,McNeil,8,3,5,24,0,0,1,0,0,9,1366
231,Mykolenko,8,2,11,39,0,0,4,0,0,9,3082
232,Ndiaye,8,4,15,24,0,0,3,0,0,21,2426
234,Patterson,8,2,0,6,0,0,1,0,0,0,342
235,Pickford,8,1,12,44,0,2,7,0,122,15,3420
236,Tarkowski,8,2,10,38,0,0,6,0,0,8,2922
237,Y. Chermiti,8,4,0,0,0,0,1,0,0,0,42
238,Young,8,2,9,23,0,0,7,1,0,9,1864
450,Alcaraz,8,3,1,9,0,0,4,0,0,5,766
577,Lindstrøm,8,3,6,14,0,0,2,0,0,0,1229
582,O'Brien,8,2,5,17,0,0,5,0,0,5,1568
603,Armstrong,8,3,0,1,0,0,1,0,0,0,47
614,Metcalfe,8,3,0,0,0,0,0,0,0,0,0
624,Begovic,8,1,0,0,0,0,0,0,0,0,0
627,Dixon,8,2,0,4,0,0,0,0,0,0,90
651,Mangala,8,3,5,10,0,0,2,0,0,0,1257
678,Bates,8,3,0,0,0,0,0,0,0,0,0
724,Sherif,8,4,0,0,0,0,0,0,0,0,0
742,Moyes,8,5,0,0,0,0,0,0,0,0,0
773,Heath,8,3,0,0,0,0,0,0,0,0,0
775,Coby Ebere,8,3,0,0,0,0,0,0,0,0,0
803,Welch,8,2,0,0,0,0,0,0,0,0,0
10,Nelson,9,3,1,9,0,0,1,0,0,2,483
19,Smith Rowe,9,3,7,28,0,0,3,0,0,15,2036
191,Andersen,9,2,4,47,1,0,7,1,0,3,2673
239,Adama,9,3,3,28,0,0,3,0,0,8,1756
240,Andreas,9,3,5,32,0,0,8,0,0,2,2004
241,Bassey,9,2,5,47,0,0,7,0,0,0,3074
242,Benda,9,1,0,0,0,0,0,0,0,0,0
243,Cairney,9,3,1,12,0,0,3,1,0,0,610
244,Castagne,9,2,3,28,0,0,1,0,0,0,1642
245,Diop,9,2,1,19,1,0,2,0,0,0,1334
246,Harris,9,3,0,0,0,0,0,0,0,0,0
247,Iwobi,9,3,6,45,0,0,1,0,0,16,2981
248,Leno,9,1,5,54,0,1,5,0,110,5,3420
249,Lukić,9,3,4,37,0,0,12,0,0,1,2348
250,Mbabu,9,2,0,0,0,0,0,0,0,0,0
251,Muniz,9,4,2,17,0,0,1,0,0,14,943
252,Raúl,9,4,7,37,0,0,4,0,0,26,2486
253,Ream,9,2,0,0,0,0,0,0,0,0,0
254,Reed,9,3,0,3,0,0,2,0,0,0,100
255,Robinson,9,2,5,49,0,0,8,0,0,8,3166
256,Stansfield,9,4,0,0,0,0,0,0,0,0,1
257,Tete,9,2,3,26,0,0,5,0,0,0,1773
258,Vinicius,9,4,0,1,0,0,0,0,0,0,13
259,Wilson,9,3,2,21,0,0,2,0,0,6,1148
579,Sessegnon,9,2,1,10,0,0,1,0,0,5,574
586,J.Cuenca,9,2,0,8,0,0,0,0,0,0,349
604,King,9,3,1,0,0,0,0,0,0,0,126
605,Godo,9,3,0,0,0,0,0,0,0,0,21
622,Berge,9,3,4,35,0,0,6,0,0,2,2221
690,Amissah,9,2,0,0,0,0,0,0,0,0,0
753,Silva,9,5,0,0,0,0,0,0,0,0,0
772,Willian,9,3,1,3,0,0,0,0,0,0,251
121,Enciso,10,3,2,22,0,0,3,0,0,5,1155
260,Al-Hamadi,10,4,0,5,0,0,3,0,0,0,125
261,Baggott,10,2,0,0,0,0,0,0,0,0,0
262,Broadhead,10,3,2,12,0,0,1,0,0,1,690
