id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,value_form,value_season,total_points,points_per_game,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event
786,Benjamin Fredrick,4,2,40,0,0,0.0,0.0,0,0.0,0.0,408,193,0,0
113,Adingra,5,3,51,-4,0,0.5,11.8,60,2.1,0.3,120944,158626,0,0
114,Baker-Boaitey,5,3,45,0,0,0.0,0.0,0,0.0,0.0,0,543,0,0
115,Baleba,5,3,50,0,0,0.4,17.4,87,2.6,0.2,70991,63444,0,0
116,Barco,5,2,40,0,0,0.0,0.0,0,0.0,1.9,34254,2012896,0,0
118,Cozier-Duberry,5,3,45,0,0,0.0,0.0,0,0.0,0.0,1560,13783,0,0
119,Dahoud,5,3,49,-1,0,0.0,0.0,0,0.0,0.0,380,2993,0,0
120,Dunk,5,2,42,-3,0,0.1,10.5,44,1.8,2.3,764625,1018224,0,0
122,Estupiñan,5,2,49,-1,0,0.5,12.9,63,2.1,1.3,528145,429681,0,0
124,Gilmour,5,3,50,0,0,0.0,0.6,3,1.5,0.0,2640,16637,0,0
125,Gross,5,3,65,0,0,0.0,0.0,0,0.0,0.0,0,8282,0,0
126,Hinshelwood,5,3,49,-1,0,1.3,18.2,89,3.4,0.1,28419,28532,0,0
127,I.Osman,5,3,50,0,0,0.0,0.0,0,0.0,0.0,0,1155,0,0
128,Igor,5,2,43,-2,0,0.0,4.2,18,1.4,0.1,13630,21072,0,0
129,João Pedro,5,4,55,0,0,0.0,22.9,126,4.7,8.5,5847214,6858157,0,0
130,Kozlowski,5,3,45,0,0,0.0,0.0,0,0.0,0.0,0,97,0,0
131,Lamptey,5,2,44,-1,0,0.1,9.5,42,2.8,0.2,89625,96642,0,0
132,March,5,3,65,0,0,0.0,1.1,7,0.9,0.0,10873,9480,0,0
133,Mazilu,5,3,45,0,0,0.0,0.0,0,0.0,0.0,720,4139,0,0
134,Milner,5,3,50,0,0,0.0,1.2,6,1.5,0.0,5014,10991,0,0
135,Minteh,5,3,48,-7,0,0.8,21.2,102,3.2,1.0,544644,577396,0,0
136,Mitoma,5,3,63,-2,0,0.4,23.0,145,4.0,6.3,3172728,2925901,0,0
137,Moder,5,3,44,-1,0,0.0,0.9,4,1.0,0.4,173459,177871,0,0
138,O’Mahony,5,4,45,0,0,0.0,0.0,0,0.0,0.2,31158,74186,0,0
139,Offiah,5,2,40,0,0,0.0,0.0,0,0.0,0.1,2639,13830,0,0
140,Peupion,5,3,44,-1,0,0.0,0.0,0,0.0,0.0,10268,12436,0,0
141,Sarmiento,5,3,49,-1,0,0.0,0.2,1,1.0,0.0,354,2972,0,0
142,Steele,5,1,40,-5,0,0.0,2.2,9,4.5,0.7,300194,351203,0,0
143,Undav,5,4,55,0,0,0.0,0.0,0,0.0,0.0,0,1477,0,0
144,Van Hecke,5,2,45,0,0,0.7,19.3,87,2.6,0.7,322311,294037,0,0
145,Veltman,5,2,43,-2,0,0.0,13.7,59,2.8,1.1,646181,667942,0,0
146,Verbruggen,5,1,45,0,0,0.8,22.9,103,2.9,2.5,807148,622236,0,0
147,Webster,5,2,43,-2,0,0.7,9.1,39,2.8,0.1,15333,20702,0,0
148,Welbeck,5,4,55,0,0,0.7,22.7,125,4.2,6.9,4226056,3901262,0,0
149,Wieffer,5,3,47,-3,0,0.6,11.1,52,2.1,0.1,17416,22295,0,0
595,Gruda,5,3,54,-1,0,0.7,8.3,45,2.1,0.1,7431,5258,0,0
600,Ayari,5,3,50,0,0,0.7,14.8,74,2.2,0.1,9500,7123,0,0
601,Moran,5,3,50,0,0,0.0,0.0,0,0.0,0.0,24,534,0,0
615,Rushworth,5,1,39,-1,0,0.0,0.0,0,0.0,0.1,12682,11012,0,0
618,Georginio,5,3,50,-5,0,0.0,19.0,95,3.4,0.3,360345,341583,0,0
628,F.Kadıoğlu,5,2,44,-1,0,0.0,4.3,19,3.2,0.1,74231,72494,0,0
629,O'Riley,5,3,55,0,0,0.6,9.1,50,2.4,0.0,20543,18525,0,0
663,Samuels,5,2,40,0,0,0.0,0.0,0,0.0,0.0,5264,5277,0,0
