id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,total_points,selected_by_percent
218,Beto,8,4,48,-2,0,2,0,87,3.9
219,Branthwaite,8,2,49,-1,0,1,0,88,1.9
220,Calvert-Lewin,8,4,54,-6,0,6,0,63,1.0
221,Coleman,8,2,43,-2,0,2,0,5,0.0
222,Gana,8,3,48,-2,0,2,0,89,0.2
223,Garner,8,3,49,-1,0,1,0,42,0.0
224,Harrison,8,3,52,-3,0,3,0,81,0.2
225,Holgate,8,2,40,0,0,0,0,1,0.1
226,Iroegbunam,8,3,43,-2,0,2,0,22,0.6
227,J.Virginia,8,1,38,-2,0,2,0,0,1.0
228,Keane,8,2,38,-2,0,2,0,48,4.3
229,Maupay,8,4,49,-1,0,1,0,0,0.2
230,McNeil,8,3,51,-4,0,4,0,93,1.4
231,Mykolenko,8,2,44,-1,0,1,0,121,6.7
232,Ndiaye,8,4,52,-3,0,3,0,114,1.1
234,Patterson,8,2,44,-1,0,1,0,14,0.0
235,Pickford,8,1,52,2,0,-2,0,158,15.9
236,Tarkowski,8,2,47,-3,0,3,0,105,1.6
237,Y. Chermiti,8,4,49,-1,0,1,0,3,0.0
238,Young,8,2,42,-3,0,3,0,98,1.4
450,Alcaraz,8,3,47,-3,0,3,0,44,0.1
577,Lindstrøm,8,3,50,-5,0,5,0,44,0.1
582,O'Brien,8,2,45,-5,0,5,0,65,0.9
603,Armstrong,8,3,44,-1,0,1,0,2,0.1
614,Metcalfe,8,3,45,0,0,0,0,0,0.0
624,Begovic,8,1,40,0,0,0,0,0,0.2
627,Dixon,8,2,39,-1,0,1,0,0,0.1
651,Mangala,8,3,50,0,0,0,0,39,0.0
678,Bates,8,3,45,0,0,0,0,0,0.0
724,Sherif,8,4,45,0,0,0,0,0,0.1
742,Moyes,8,5,5,0,0,0,0,137,5.3
773,Heath,8,3,45,0,0,0,0,0,0.0
775,Coby Ebere,8,3,45,0,0,0,0,0,0.0
803,Welch,8,2,40,0,0,0,0,0,0.0
10,Nelson,9,3,50,0,0,0,0,27,0.0
19,Smith Rowe,9,3,50,-5,0,5,0,114,7.3
191,Andersen,9,2,42,-3,0,3,0,51,3.4
239,Adama,9,3,45,-5,0,5,0,95,1.4
240,Andreas,9,3,49,-6,0,6,0,81,0.8
241,Bassey,9,2,45,0,0,0,0,75,0.6
242,Benda,9,1,39,-1,0,1,0,0,0.3
243,Cairney,9,3,48,-2,0,2,0,33,0.0
244,Castagne,9,2,42,-3,0,3,0,46,0.8
245,Diop,9,2,43,-2,0,2,0,31,0.2
246,Harris,9,3,45,0,0,0,0,0,0.0
247,Iwobi,9,3,54,-1,0,1,0,156,4.9
248,Leno,9,1,50,0,0,0,0,115,2.9
249,Lukić,9,3,48,-2,0,2,0,56,0.0
250,Mbabu,9,2,40,0,0,0,0,0,0.1
251,Muniz,9,4,55,-5,0,5,0,86,1.4
252,Raúl,9,4,53,-2,0,2,0,147,5.0
253,Ream,9,2,45,0,0,0,0,0,0.0
254,Reed,9,3,47,-3,0,3,0,10,0.0
255,Robinson,9,2,47,2,0,-2,0,106,15.2
256,Stansfield,9,4,50,0,0,0,0,1,0.0
257,Tete,9,2,44,-1,0,1,0,49,0.2
258,Vinicius,9,4,50,0,0,0,0,3,0.3
259,Wilson,9,3,52,-3,0,3,0,78,0.2
579,Sessegnon,9,2,42,-3,0,3,0,57,2.6
586,J.Cuenca,9,2,44,-1,0,1,0,9,0.0
604,King,9,3,44,-1,0,1,0,10,0.1
605,Godo,9,3,44,-1,0,1,0,2,0.0
622,Berge,9,3,50,0,0,0,0,53,0.0
690,Amissah,9,2,40,0,0,0,0,0,0.0
753,Silva,9,5,11,0,0,0,0,94,0.3
772,Willian,9,3,50,0,0,0,0,13,0.0
121,Enciso,10,3,54,-1,0,1,0,59,0.2
260,Al-Hamadi,10,4,47,-3,0,3,0,8,0.2
261,Baggott,10,2,40,0,0,0,0,0,0.0
262,Broadhead,10,3,49,-1,0,1,0,37,0.0
263,Burgess,10,2,38,-2,0,2,0,26,1.8
264,Burns,10,3,47,-3,0,3,0,30,0.0
265,Chaplin,10,3,51,-4,0,4,0,41,0.1
266,H.Clarke,10,2,40,0,0,0,0,1,0.0
267,Davis,10,2,42,-3,0,3,0,52,0.9
268,Delap,10,4,56,1,0,-1,0,132,3.3
269,Edmundson,10,2,40,0,0,0,0,1,0.1
270,Greaves,10,2,38,-2,0,2,0,37,2.3
271,Harness,10,3,49,-1,0,1,0,2,0.0
