id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,minutes,form,points_per_game
230,McNeil,8,51,93,4,8,5,1,0,9,401,392.0,631.8,207.0,123.3,1366,5.2,4.4
450,Alcaraz,8,47,44,2,3,1,4,0,5,191,219.4,205.7,227.0,65.4,766,5.0,2.8
577,Lindstrøm,8,50,44,0,1,6,2,0,0,167,214.2,309.6,237.0,76.0,1229,0.0,1.8
603,Armstrong,8,44,2,0,0,0,1,0,0,1,1.8,10.9,9.0,2.2,47,0.0,0.7
614,Metcalfe,8,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
651,Mangala,8,50,39,1,0,5,2,0,0,175,172.8,133.5,106.0,41.4,1257,0.0,2.1
678,Bates,8,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
773,Heath,8,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
775,Coby Ebere,8,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
10,Nelson,9,50,27,1,1,1,1,0,2,143,131.6,223.9,195.0,55.1,483,0.0,2.2
19,Smith Rowe,9,50,114,6,3,7,3,0,15,449,433.8,422.3,386.0,124.4,2036,2.0,3.4
239,Adama,9,45,95,2,8,3,3,0,8,384,385.4,632.1,426.0,144.6,1756,3.0,2.6
240,Andreas,9,49,81,2,6,5,8,0,2,355,326.6,868.3,300.0,149.0,2004,1.0,2.5
243,Cairney,9,48,33,2,0,1,3,1,0,192,163.8,213.8,94.0,47.2,610,2.2,1.3
246,Harris,9,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
247,Iwobi,9,54,156,9,6,6,1,0,16,704,806.8,922.4,699.0,243.0,2981,1.8,4.1
249,Lukić,9,48,56,0,2,4,12,0,1,354,335.6,455.1,119.0,91.0,2348,1.5,1.9
254,Reed,9,47,10,0,0,0,2,0,0,36,18.6,20.6,33.0,7.1,100,0.2,0.8
259,Wilson,9,52,78,6,2,2,2,0,6,329,334.6,310.2,440.0,107.8,1148,3.0,3.1
604,King,9,44,10,0,0,1,0,0,0,30,26.2,45.7,38.0,11.2,126,0.8,1.2
605,Godo,9,44,2,0,0,0,0,0,0,4,3.4,12.0,14.0,3.0,21,0.2,1.0
622,Berge,9,50,53,0,0,4,6,0,2,334,314.4,285.7,51.0,65.1,2221,1.0,1.7
772,Willian,9,50,13,0,0,1,0,0,0,54,36.2,133.3,25.0,19.5,251,0.5,1.3
121,Enciso,10,54,59,2,3,2,3,0,5,224,250.8,268.9,362.0,87.7,1155,3.2,2.4
262,Broadhead,10,49,37,2,0,2,1,0,1,137,148.2,111.0,155.0,41.4,690,2.2,2.1
264,Burns,10,47,30,0,1,1,1,0,0,144,111.6,148.5,66.0,31.8,922,0.0,1.7
265,Chaplin,10,51,41,1,2,1,2,0,0,139,106.6,152.1,108.0,36.1,845,1.2,1.9
271,Harness,10,49,2,0,0,0,0,0,0,4,9.4,1.9,6.0,1.7,43,0.0,1.0
273,Humphreys,10,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
274,Hutchinson,10,52,88,3,3,3,5,0,6,352,383.2,487.5,443.0,131.5,2585,2.8,2.8
277,Luongo,10,43,13,0,0,0,0,0,0,47,34.4,6.6,4.0,4.6,195,0.5,1.2
278,Morsy,10,48,67,1,1,2,10,0,5,421,417.0,374.0,47.0,83.7,2749,1.8,2.0
281,Taylor,10,48,38,1,0,0,4,0,1,144,142.0,100.5,84.0,32.4,837,1.2,1.2
359,Phillips,10,48,27,0,0,1,4,1,0,167,181.8,116.2,41.0,33.8,1231,0.2,1.4
569,Jaden,10,53,37,2,0,2,3,1,3,116,159.0,98.2,190.0,43.9,796,0.0,1.8
611,Szmodics,10,57,54,4,0,2,2,0,2,167,216.0,93.0,263.0,56.7,988,0.2,2.7
619,Cajuste,10,45,63,1,1,1,2,0,2,309,284.0,209.2,59.0,54.9,1960,2.2,2.1
631,J.Clarke,10,54,53,0,4,1,2,0,0,221,230.8,341.7,151.0,72.2,1161,1.2,1.7
632,Ogbene,10,48,7,0,0,0,0,0,0,29,22.8,30.2,12.0,6.4,237,0.0,1.4
800,Tom Taylor,10,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
117,Buonanotte,11,45,75,5,2,2,8,0,6,299,415.8,415.8,318.0,114.7,1508,2.0,2.4
192,J.Ayew,11,51,75,5,0,4,6,0,3,279,304.4,316.9,311.0,93.4,1649,3.8,2.4
285,B.Soumaré,11,44,48,0,0,1,8,0,0,327,294.2,261.8,47.0,60.4,2165,1.8,1.5
287,Choudhury,11,44,4,0,0,0,0,0,0,29,33.8,30.4,6.0,7.0,129,0.0,1.0
290,De Cordova-Reid,11,52,48,1,4,1,2,0,2,145,102.2,84.4,72.0,26.0,734,0.0,2.1
292,Golding,11,44,1,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,0.2,1.0
297,Marcal,11,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
298,Mavididi,11,50,72,4,1,1,2,0,5,270,339.2,375.3,302.0,101.5,1606,0.0,2.4
299,McAteer,11,47,35,1,1,3,3,0,0,125,147.2,132.5,184.0,46.3,846,3.5,1.9
300,Ndidi,11,49,64,0,5,3,8,0,1,375,546.4,302.2,280.0,112.8,2325,2.8,2.3
309,Winks,11,43,40,0,2,0,4,0,0,282,272.8,319.6,37.0,63.2,1536,0.0,1.8
501,Skipp,11,47,27,0,0,3,8,0,0,121,119.4,146.0,35.0,29.9,1118,1.8,1.1
570,A.Fatawu,11,51,26,0,2,0,0,0,3,125,147.6,104.3,148.0,40.1,576,0.0,2.4
606,Alves,11,44,1,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,1,0.0,1.0
635,El Khannouss,11,48,83,2,4,3,4,0,6,376,381.6,634.1,191.0,120.5,2179,3.5,2.6
