id,web_name,team,element_type,minutes,total_points,points_per_game,starts,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90
135,Minteh,5,3,1831,102,3.2,20,0.2,0.25,0.45
136,Mitoma,5,3,2597,145,4.0,28,0.32,0.14,0.46
137,Moder,5,3,9,4,1.0,0,0.0,5.3,5.3
138,O’Mahony,5,4,0,0,0.0,0,0.0,0.0,0.0
139,Offiah,5,2,0,0,0.0,0,0.0,0.0,0.0
140,Peupion,5,3,0,0,0.0,0,0.0,0.0,0.0
141,Sarmiento,5,3,8,1,1.0,0,0.0,0.0,0.0
142,Steele,5,1,180,9,4.5,2,0.0,0.0,0.0
143,Undav,5,4,0,0,0.0,0,0.0,0.0,0.0
144,Van Hecke,5,2,2960,87,2.6,33,0.04,0.04,0.08
145,Veltman,5,2,1694,59,2.8,19,0.02,0.07,0.09
146,Verbruggen,5,1,3240,103,2.9,36,0.0,0.0,0.0
147,Webster,5,2,885,39,2.8,11,0.03,0.03,0.06
148,Welbeck,5,4,2109,125,4.2,24,0.41,0.06,0.47
149,Wieffer,5,3,1003,52,2.1,10,0.07,0.09,0.16
595,Gruda,5,3,676,45,2.1,8,0.15,0.26,0.41
600,Ayari,5,3,1958,74,2.2,22,0.12,0.12,0.24
601,Moran,5,3,0,0,0.0,0,0.0,0.0,0.0
615,Rushworth,5,1,0,0,0.0,0,0.0,0.0,0.0
618,Georginio,5,3,1651,95,3.4,19,0.25,0.09,0.34
628,F.Kadıoğlu,5,2,385,19,3.2,5,0.1,0.07,0.17
629,O'Riley,5,3,929,50,2.4,11,0.27,0.2,0.47
663,Samuels,5,2,0,0,0.0,0,0.0,0.0,0.0
668,Cahill,5,1,0,0,0.0,0,0.0,0.0,0.0
681,McConville,5,2,0,0,0.0,0,0.0,0.0,0.0
685,Slater,5,2,0,0,0.0,0,0.0,0.0,0.0
714,Gómez,5,3,507,30,1.9,4,0.15,0.21,0.36
739,Hürzeler,5,5,0,119,0.0,0,0.0,0.0,0.0
758,Knight,5,3,0,0,0.0,0,0.0,0.0,0.0
763,Cashin,5,2,19,1,0.5,0,0.0,0.0,0.0
791,Charlie Tasker,5,2,0,0,0.0,0,0.0,0.0,0.0
794,Freddie Simmonds,5,2,0,0,0.0,0,0.0,0.0,0.0
795,Harry Howell,5,3,6,1,1.0,0,0.0,0.75,0.75
150,Andrey Santos,6,3,0,0,0.0,0,0.0,0.0,0.0
151,Ângelo,6,3,0,0,0.0,0,0.0,0.0,0.0
153,B.Badiashile,6,2,332,7,1.4,3,0.0,0.02,0.02
154,Bergström,6,1,0,0,0.0,0,0.0,0.0,0.0
155,Bettinelli,6,1,0,0,0.0,0,0.0,0.0,0.0
157,Caicedo,6,3,3351,98,2.6,38,0.02,0.08,0.1
158,Casadei,6,3,0,0,0.0,0,0.0,0.0,0.0
159,Chalobah,6,2,1969,93,3.7,23,0.09,0.03,0.12
161,Chukwuemeka,6,3,0,0,0.0,0,0.0,0.0,0.0
162,Colwill,6,2,3150,109,3.1,35,0.05,0.04,0.09
163,Cucurella,6,2,2988,133,3.7,33,0.08,0.07,0.15
164,D.D.Fofana,6,4,0,0,0.0,0,0.0,0.0,0.0
165,Deivid,6,4,0,0,0.0,0,0.0,0.0,0.0
166,Dewsbury-Hall,6,3,257,18,1.4,2,0.08,0.08,0.16
168,Enzo,6,3,2943,135,3.8,32,0.19,0.19,0.38
169,Gallagher,6,3,0,0,0.0,0,0.0,0.0,0.0
170,Gilchrist,6,2,0,0,0.0,0,0.0,0.0,0.0
171,Gusto,6,2,1853,60,1.9,19,0.07,0.09,0.16
172,James,6,2,1057,54,2.8,12,0.04,0.1,0.14
173,Kellyman,6,3,0,0,0.0,0,0.0,0.0,0.0
174,Lavia,6,3,792,26,1.6,11,0.03,0.04,0.07
175,Lukaku,6,4,0,0,0.0,0,0.0,0.0,0.0
176,M.Sarr,6,2,0,0,0.0,0,0.0,0.0,0.0
177,Madueke,6,3,2028,120,3.8,27,0.43,0.13,0.56
178,Marc Guiu,6,4,71,3,1.0,0,0.0,0.03,0.03
179,Mudryk,6,3,145,7,1.0,1,0.15,0.41,0.56
180,N.Jackson,6,4,2220,121,4.0,28,0.47,0.08,0.55
181,Nkunku,6,3,904,60,2.2,9,0.51,0.1,0.61
182,Palmer,6,3,3193,214,5.8,36,0.47,0.27,0.74
183,Petrović,6,1,0,0,0.0,0,0.0,0.0,0.0
184,Renato Veiga,6,3,176,7,1.0,1,0.08,0.08,0.16
185,Sánchez,6,1,2880,126,3.9,32,0.0,0.0,0.0
187,Tosin,6,2,1403,71,3.2,15,0.06,0.01,0.07
189,W.Fofana,6,2,1172,26,1.9,14,0.03,0.01,0.04
386,Sancho,6,3,1754,86,2.8,19,0.11,0.16,0.27
560,Neto,6,3,2262,104,3.0,24,0.14,0.18,0.32
575,Wiley,6,2,0,0,0.0,0,0.0,0.0,0.0
581,Jørgensen,6,1,540,18,3.0,6,0.0,0.0,0.0
621,João Félix,6,3,362,24,2.0,3,0.57,0.11,0.68
695,Rak-Sakyi,6,3,0,0,0.0,0,0.0,0.0,0.0
696,George,6,3,177,17,2.1,1,0.1,0.13,0.23
697,Acheampong,6,2,168,4,1.0,2,0.12,0.01,0.13
740,Maresca,6,5,0,94,0.0,0,0.0,0.0,0.0
771,Amougou,6,3,7,1,1.0,0,0.0,0.0,0.0
774,Anselmino,6,2,0,0,0.0,0,0.0,0.0,0.0
781,Mheuka,6,4,1,1,1.0,0,5.4,0.0,5.4
782,Samuels-Smith,6,2,0,0,0.0,0,0.0,0.0,0.0
787,Genesis Antwi,6,2,0,0,0.0,0,0.0,0.0,0.0
11,Nketiah,7,4,1018,53,1.8,9,0.53,0.07,0.6
160,Chilwell,7,2,254,13,1.6,1,0.09,0.31,0.4
190,Ahamada,7,3,0,0,0.0,0,0.0,0.0,0.0
193,C.Doucouré,7,3,443,19,1.5,4,0.08,0.02,0.1
194,C.Richards,7,2,1921,68,2.8,22,0.06,0.03,0.09
195,Chadi Riad,7,2,90,1,1.0,1,0.0,0.02,0.02
196,Clyne,7,2,477,18,1.4,5,0.0,0.05,0.05
197,Ebiowei,7,3,0,0,0.0,0,0.0,0.0,0.0
199,Eze,7,3,2588,148,4.4,31,0.36,0.16,0.52
200,Guéhi,7,2,3059,116,3.4,34,0.06,0.06,0.12
201,Henderson,7,1,3420,135,3.6,38,0.0,0.0,0.0
202,Holding,7,2,0,0,0.0,0,0.0,0.0,0.0
203,Hughes,7,3,2100,67,2.0,24,0.05,0.11,0.16
205,Kamada,7,3,1545,45,1.3,15,0.07,0.09,0.16
206,Lerma,7,3,2270,58,1.8,26,0.04,0.07,0.11
207,Mateta,7,4,2642,150,4.1,33,0.47,0.08,0.55
208,M.França,7,3,52,9,2.2,0,0.48,0.31,0.79
209,Matthews,7,1,0,0,0.0,0,0.0,0.0,0.0
210,Mitchell,7,2,3090,123,3.3,37,0.04,0.11,0.15
211,Muñoz,7,2,3229,142,3.8,37,0.14,0.1,0.24
212,Ozoh,7,3,0,0,0.0,0,0.0,0.0,0.0
213,Rak-Sakyi,7,3,0,0,0.0,0,0.0,0.0,0.0
214,Schlupp,7,3,95,12,1.0,0,0.16,0.13,0.29
215,Ward,7,2,71,1,0.5,1,0.0,0.01,0.01
216,Wharton,7,3,1314,42,2.1,16,0.03,0.15,0.18
445,Turner,7,1,0,0,0.0,0,0.0,0.0,0.0
585,I.Sarr,7,3,2708,149,3.9,30,0.36,0.23,0.59
644,Umeh-Chibueze,7,3,0,0,0.0,0,0.0,0.0,0.0
645,Devenny,7,3,494,34,1.5,4,0.14,0.07,0.21
646,Agbinone,7,3,4,2,1.0,0,0.45,0.22,0.67
647,Rodney,7,3,0,0,0.0,0,0.0,0.0,0.0
650,Lacroix,7,2,3116,114,3.3,35,0.1,0.03,0.13
666,Kporha,7,2,11,2,1.0,0,0.0,0.16,0.16
676,Marsh,7,4,0,0,0.0,0,0.0,0.0,0.0
730,Esse,7,3,138,22,3.1,1,0.21,0.25,0.46
741,Glasner,7,5,0,128,0.0,0,0.0,0.0,0.0
156,Broja,8,4,327,12,1.2,4,0.03,0.03,0.06
217,A.Doucoure,8,3,2563,94,2.8,31,0.15,0.05,0.2
218,Beto,8,4,1521,87,2.9,15,0.47,0.03,0.5
219,Branthwaite,8,2,2509,88,2.9,28,0.04,0.02,0.06
220,Calvert-Lewin,8,4,1602,63,2.4,19,0.37,0.04,0.41
221,Coleman,8,2,214,5,1.0,3,0.26,0.01,0.27
222,Gana,8,3,3063,89,2.4,35,0.03,0.06,0.09
223,Garner,8,3,1590,42,2.0,17,0.04,0.08,0.12
224,Harrison,8,3,2068,81,2.4,24,0.15,0.14,0.29
225,Holgate,8,2,5,1,1.0,0,0.0,0.0,0.0
226,Iroegbunam,8,3,562,22,1.2,5,0.04,0.02,0.06
227,J.Virginia,8,1,0,0,0.0,0,0.0,0.0,0.0
228,Keane,8,2,1046,48,3.4,11,0.05,0.0,0.05
229,Maupay,8,4,0,0,0.0,0,0.0,0.0,0.0
230,McNeil,8,3,1366,93,4.4,15,0.07,0.3,0.37
231,Mykolenko,8,2,3082,121,3.5,35,0.01,0.06,0.07
232,Ndiaye,8,4,2426,114,3.5,29,0.23,0.05,0.28
234,Patterson,8,2,342,14,1.4,3,0.02,0.1,0.12
235,Pickford,8,1,3420,158,4.2,38,0.0,0.01,0.01
236,Tarkowski,8,2,2922,105,3.2,33,0.04,0.07,0.11
237,Y. Chermiti,8,4,42,3,0.8,0,0.24,0.0,0.24
238,Young,8,2,1864,98,3.1,19,0.01,0.14,0.15
450,Alcaraz,8,3,766,44,2.8,7,0.21,0.08,0.29
577,Lindstrøm,8,3,1229,44,1.8,15,0.16,0.14,0.3
582,O'Brien,8,2,1568,65,3.2,17,0.04,0.02,0.06
603,Armstrong,8,3,47,2,0.7,0,0.71,0.0,0.71
614,Metcalfe,8,3,0,0,0.0,0,0.0,0.0,0.0
624,Begovic,8,1,0,0,0.0,0,0.0,0.0,0.0
627,Dixon,8,2,90,0,0.0,1,0.0,0.0,0.0
651,Mangala,8,3,1257,39,2.1,14,0.08,0.04,0.12
678,Bates,8,3,0,0,0.0,0,0.0,0.0,0.0
724,Sherif,8,4,0,0,0.0,0,0.0,0.0,0.0
742,Moyes,8,5,0,137,0.0,0,0.0,0.0,0.0
773,Heath,8,3,0,0,0.0,0,0.0,0.0,0.0
775,Coby Ebere,8,3,0,0,0.0,0,0.0,0.0,0.0
803,Welch,8,2,0,0,0.0,0,0.0,0.0,0.0
10,Nelson,9,3,483,27,2.2,5,0.2,0.18,0.38
19,Smith Rowe,9,3,2036,114,3.4,25,0.2,0.09,0.29
191,Andersen,9,2,2673,51,1.7,30,0.04,0.02,0.06
239,Adama,9,3,1756,95,2.6,18,0.21,0.24,0.45
240,Andreas,9,3,2004,81,2.5,25,0.19,0.21,0.4
241,Bassey,9,2,3074,75,2.1,34,0.03,0.01,0.04
242,Benda,9,1,0,0,0.0,0,0.0,0.0,0.0
243,Cairney,9,3,610,33,1.3,3,0.11,0.17,0.28
244,Castagne,9,2,1642,46,1.9,17,0.02,0.03,0.05
245,Diop,9,2,1334,31,1.5,15,0.03,0.0,0.03
246,Harris,9,3,0,0,0.0,0,0.0,0.0,0.0
247,Iwobi,9,3,2981,156,4.1,35,0.13,0.21,0.34
248,Leno,9,1,3420,115,3.0,38,0.0,0.0,0.0
249,Lukić,9,3,2348,56,1.9,28,0.04,0.05,0.09
250,Mbabu,9,2,0,0,0.0,0,0.0,0.0,0.0
251,Muniz,9,4,943,86,2.8,8,0.56,0.02,0.58
252,Raúl,9,4,2486,147,3.9,30,0.43,0.07,0.5
253,Ream,9,2,0,0,0.0,0,0.0,0.0,0.0
254,Reed,9,3,100,10,0.8,0,0.21,0.08,0.29
255,Robinson,9,2,3166,106,2.9,35,0.02,0.12,0.14
256,Stansfield,9,4,1,1,1.0,0,0.0,0.0,0.0
257,Tete,9,2,1773,49,2.2,21,0.07,0.03,0.1
258,Vinicius,9,4,13,3,1.0,0,0.42,0.0,0.42
259,Wilson,9,3,1148,78,3.1,12,0.33,0.09,0.42
579,Sessegnon,9,2,574,57,3.6,7,0.26,0.18,0.44
586,J.Cuenca,9,2,349,9,1.1,4,0.01,0.0,0.01
604,King,9,3,126,10,1.2,1,0.2,0.48,0.68
605,Godo,9,3,21,2,1.0,0,0.0,0.3,0.3
622,Berge,9,3,2221,53,1.7,26,0.02,0.03,0.05
690,Amissah,9,2,0,0,0.0,0,0.0,0.0,0.0
753,Silva,9,5,0,94,0.0,0,0.0,0.0,0.0
772,Willian,9,3,251,13,1.3,2,0.1,0.26,0.36
121,Enciso,10,3,1155,59,2.4,14,0.22,0.1,0.32
260,Al-Hamadi,10,4,125,8,0.7,0,0.25,0.03,0.28
261,Baggott,10,2,0,0,0.0,0,0.0,0.0,0.0
262,Broadhead,10,3,690,37,2.1,7,0.23,0.14,0.37
263,Burgess,10,2,1540,26,1.4,16,0.06,0.02,0.08
264,Burns,10,3,922,30,1.7,12,0.05,0.11,0.16
265,Chaplin,10,3,845,41,1.9,10,0.16,0.06,0.22
266,H.Clarke,10,2,377,1,0.1,4,0.02,0.02,0.04
267,Davis,10,2,2742,52,1.6,32,0.03,0.16,0.19
268,Delap,10,4,2587,132,3.6,32,0.33,0.05,0.38
269,Edmundson,10,2,1,1,1.0,0,0.0,0.0,0.0
270,Greaves,10,2,2205,37,1.5,25,0.05,0.01,0.06
271,Harness,10,3,43,2,1.0,0,0.0,0.1,0.1
272,Hirst,10,4,645,46,1.8,5,0.3,0.03,0.33
273,Humphreys,10,3,0,0,0.0,0,0.0,0.0,0.0
274,Hutchinson,10,3,2585,88,2.8,30,0.1,0.09,0.19
275,Johnson,10,2,1346,30,1.3,14,0.07,0.06,0.13
276,Ladapo,10,4,0,0,0.0,0,0.0,0.0,0.0
277,Luongo,10,3,195,13,1.2,2,0.0,0.0,0.0
278,Morsy,10,3,2749,67,2.0,31,0.01,0.05,0.06
279,Ndaba,10,2,0,0,0.0,0,0.0,0.0,0.0
280,Slicker,10,1,0,0,0.0,0,0.0,0.0,0.0
281,Taylor,10,3,837,38,1.2,4,0.08,0.08,0.16
282,Tuanzebe,10,2,1710,27,1.2,20,0.01,0.01,0.02
283,Walton,10,1,630,16,2.3,7,0.0,0.0,0.0
284,Woolfenden,10,2,1187,18,1.2,12,0.0,0.0,0.0
359,Phillips,10,3,1231,27,1.4,14,0.03,0.03,0.06
568,Muric,10,1,1620,49,2.7,18,0.0,0.0,0.0
569,Jaden,10,3,796,37,1.8,7,0.27,0.04,0.31
583,Townsend,10,2,334,11,1.8,3,0.01,0.06,0.07
611,Szmodics,10,3,988,54,2.7,13,0.31,0.04,0.35
619,Cajuste,10,3,1960,63,2.1,25,0.03,0.03,0.06
630,O'Shea,10,2,3122,49,1.4,35,0.04,0.02,0.06
631,J.Clarke,10,3,1161,53,1.7,12,0.09,0.09,0.18
632,Ogbene,10,3,237,7,1.4,3,0.0,0.02,0.02
715,Godfrey,10,2,158,-1,-0.3,2,0.0,0.01,0.01
743,McKenna,10,5,0,51,0.0,0,0.0,0.0,0.0
